Product_ID,Weight,Width,Height,Colour
PR101,8,15,13,White
PR102,8,15,13,White
PR103,8,15,12,Silver
PR104,6,15,12,Silver
PR105,6,13,12,Black
PR106,6,13,12,Black
PR107,6,13,12,Black
PR108,4,11,12,Silver
PR109,4,11,12,Silver
PR110,4,11,12,Silver
PR111,4,10,10,Silver
PR112,3,1.8,6.8,Silver
PR113,3,1.8,6.8,Black
PR114,3,1.8,6.8,Black
PR115,3,1.8,6.8,Black
PR116,3,1.8,6.8,Black
PR117,3,1.8,6.8,Black
PR118,1,1.8,7.2,Rose Gold
PR119,1,1.8,7.2,Rose Gold
PR120,1,1.8,8,Rose Gold
PR121,2,1.8,8.73,Black
PR122,2,1.8,6.27,Black
PR123,2,1.8,6.27,Black
PR124,2,1.8,6.27,Black
PR125,2,1.8,6.27,Black
PR126,2,1.8,6.27,Black
PR127,2,1.8,6.27,Black
PR128,2,1.8,6.27,Black
PR129,1,1.8,6.27,Black
PR130,1,1.8,6.27,Black
PR131,1,1.8,6.27,Black
PR132,1,1.8,6.27,White
PR133,1,1.8,6.27,Grey
PR134,1,1.8,6.27,Grey
PR135,1,1,10,Brown
PR136,1,1,9,Black
PR137,2,1,8,White
PR138,2,1,7,Brown
PR139,1,1,6,Black
PR140,1,1,6,Brown
