State,Zipcode_ID,City
Florida,11000,Miami
Florida,11001,Orlando
Florida,11002,Tampa
Florida,11003,Fort
Florida,11004,Jacksonville
Florida,11005,Key West
Florida,11006,West Palm
Florida,11007,Naples
Florida,11008,St.Peterbrough
Florida,11009,Daytona
Alaska,22000,Anchorage
Alaska,22001,Juneau
Alaska,22002,Fair Banks
Alaska,22003,Ketchikan
Alaska,22004,Wasilla
Alaska,22005,Sitka
Alaska,22006,Kodiak
Massachusetts,33000,Boston
Massachusetts,33001,Framingham
Massachusetts,33002,Somerville
Massachusetts,33003,Playmouth
Massachusetts,33004,Lowll
Massachusetts,33005,Newton
Massachusetts,33006,Quincy
California,44000,Los Angeles
California,44001,Sanfrancisco
California,44002,Sandiego
California,44003,San Jose
Kansas,55000,Kansas City
Kansas,55001,Topeka
Kansas,55002,Wichida
Kansas,55003,Over land
